Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_453.jpg;0;0;1;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_514.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_580.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_647.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_713.jpg;0;0;0;0;99.66999;85.58897;0.0002359428;56.82556;-9.644948E-08
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_780.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_847.jpg;0;0;0;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_914.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_980.jpg;0;0;0;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_048.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_114.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_180.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_247.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_314.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_380.jpg;0;0;0;0;99.66999;85.58897;0.0002357839;56.82556;-3.107983E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_447.jpg;0;0;0;0;99.66999;85.58897;0.0002358601;56.82556;-5.665031E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_514.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82556;-4.642238E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_580.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82556;-4.642238E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_648.jpg;0;0.09975904;0;0;99.67003;85.58904;0.001851277;56.82563;-4.951511E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_714.jpg;0;0.2997209;0;0;99.67083;85.59026;0.03444696;56.81947;-3.771946E-06
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_780.jpg;0;0.500385;0;0.03219712;99.67254;85.59288;0.09989487;56.80273;0.0001057747
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_847.jpg;0;0.6998581;0;0.07957926;99.6769;85.59953;0.2567869;56.89872;-0.0003996501
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_914.jpg;0;0.9000571;0;0.08669131;99.68243;85.60802;0.4453154;56.84644;-0.0003194277
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_980.jpg;0;1;0;0.1512835;99.68931;85.61852;0.644496;56.83181;-0.0005351764
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_048.jpg;0;1;0;0.2051367;99.70133;85.6368;0.949838;56.79051;-0.001309228
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_114.jpg;0;1;0;0.2630526;99.71312;85.65478;1.219707;56.98044;-0.003189461
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_180.jpg;0;1;0;0.3332881;99.72514;85.67285;1.340812;57.08474;-0.003114592
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_247.jpg;0;1;0;0.3828516;99.74069;85.69645;1.158958;57.12395;8.435408E-05
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_314.jpg;0;1;0;0.4478609;99.75512;85.71851;1.0908;57.09354;-0.0007441185
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_380.jpg;0;1;0;0.50022;99.77169;85.744;1.088107;57.18394;-0.0003515246
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_447.jpg;0;1;0;0.5449125;99.79621;85.78174;1.134849;57.17113;0.0004399131
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_514.jpg;0;1;0;0.6102663;99.81727;85.81408;1.221555;57.13821;-0.0008461219
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_580.jpg;0;1;0;0.6506475;99.83877;85.84712;1.232867;57.09195;-0.001437234
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_647.jpg;0;1;0;0.7116112;99.86963;85.89474;1.197811;57.14827;-0.0002573089
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_714.jpg;0;1;0;0.7584468;99.89507;85.9337;1.19339;57.06335;-0.0007775562
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_780.jpg;0;1;0;0.8348808;99.92248;85.97565;1.207441;57.06963;-0.001436366
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_847.jpg;0;1;0;0.8817268;99.96153;86.0354;1.221224;57.06134;-0.001214262
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_914.jpg;-1.500661;1;0;0.9311697;99.99288;86.08285;1.221471;56.99435;-0.0002788471
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_980.jpg;-4.49631;1;0;0.9951326;100.0265;86.132;1.21105;56.7937;0.0002744161
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_047.jpg;-7.501997;1;0;1.03872;100.0754;86.19971;1.211221;56.09567;0.002052076
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_114.jpg;-10.50241;1;0;1.079551;100.1156;86.25189;1.209916;55.35444;-0.001591042
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_180.jpg;-13.50707;1;0;1.142261;100.1591;86.30498;1.212659;54.41491;359.9809
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_247.jpg;-15;1;0;1.189654;100.2223;86.37662;1.204644;52.80403;359.9484
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_314.jpg;-15;1;0;1.232155;100.273;86.43126;1.180214;51.53002;359.9414
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_380.jpg;-13.50294;1;0;1.291579;100.3269;86.48703;1.166138;50.28154;359.9311
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_448.jpg;-10.50004;1;0;1.34485;100.4023;86.56459;1.171525;48.87301;359.9516
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_514.jpg;-7.499669;1;0;1.390295;100.4615;86.62556;1.205614;48.05959;359.9877
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_580.jpg;-4.49997;1;0;1.452265;100.5231;86.68851;1.255524;47.44482;0.003398168
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_647.jpg;-1.5;1;0;1.499606;100.6074;86.77561;1.284825;47.01634;0.0007247691
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_714.jpg;0;1;0;1.547174;100.6718;86.84361;1.274363;46.94754;-0.0007321853
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_780.jpg;0;1;0;1.610671;100.7379;86.91378;1.259778;46.92878;-0.0005881788
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_848.jpg;0;1;0;1.656187;100.8293;87.01077;1.267439;46.91214;-0.001027688
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_914.jpg;0;1;0;1.701504;100.9001;87.08582;1.271637;46.90009;-0.001024487
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_981.jpg;0;1;0;1.763372;100.9728;87.16284;1.274683;46.89077;-0.001054058
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_047.jpg;0;1;0;1.808396;101.0726;87.26865;1.280095;46.87457;-0.00106268
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_114.jpg;0;1;0;1.85385;101.1497;87.35031;1.285108;46.86351;-0.001075145
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_180.jpg;0;1;0;1.914983;101.2287;87.43394;1.290522;46.85247;-0.001104183
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_247.jpg;0;1;0;1.960119;101.3369;87.54844;1.29495;46.839;-0.001127029
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_314.jpg;0;1;0;2.005107;101.4203;87.63658;1.297588;46.82784;-0.001146432
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_380.jpg;0;1;0;2.064753;101.5055;87.72668;1.302394;46.81521;-0.001164528
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_447.jpg;0;1;0;2.109386;101.622;87.84978;1.30646;46.80035;-0.001187347
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_514.jpg;0;1;0;2.153593;101.7115;87.94434;1.309969;46.78983;-0.001192286
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_580.jpg;-3.003661;1;0;2.211985;101.8034;88.04017;1.308456;46.62301;-0.0003382893
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_647.jpg;-5.998817;1;0;2.256517;101.9311;88.16851;1.304973;45.88718;0.001702012
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_714.jpg;-2.998533;1;0;2.298522;102.0299;88.26614;1.307648;45.32436;0.001437916
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_780.jpg;0;1;0;2.356327;102.1305;88.36584;1.316877;45.04445;0.0001567622
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_847.jpg;0;1;0;2.399623;102.2674;88.50178;1.328957;44.95898;-0.001216261
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_914.jpg;0;1;0;2.443199;102.3722;88.60566;1.328325;44.93943;-0.001292907
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_980.jpg;0;1;0;2.501464;102.4789;88.71136;1.33138;44.92598;-0.00131506
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_047.jpg;0;1;0;2.544401;102.6242;88.85507;1.33852;44.91036;-0.001338282
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_114.jpg;0;1;0;2.587218;102.7354;88.96494;1.344437;44.89907;-0.001363425
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_180.jpg;0;1;0;2.644131;102.8483;89.07652;1.34543;44.8891;-0.001376929
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_247.jpg;0;1;0;2.686932;103.0017;89.22804;1.343469;44.87259;-0.000912668
